R,L,C,Time,Vin,VR,VL,VC,I
22000.0,1e-05,1.005e-06,0.04452696594593309,16.75,2.235638665623817,-0.0002589556171663787,14.51462028999335,0.00010161993934653715
22000.0,1e-05,1.005e-06,0.04507971595729673,16.75,2.179926283025102,0.0002588639887264321,14.569814852986172,9.908755831932282e-05
22000.0,1e-05,1.005e-06,0.045632465968660364,16.75,2.1266123644857373,-0.0002589516724871288,14.62364658718675,9.666419838571533e-05
22000.0,1e-05,1.005e-06,0.046185215980024,16.75,2.0735919927963433,0.00025886447151712844,14.67614914273214,9.425418149074288e-05
22000.0,1e-05,1.005e-06,0.04673796599138764,16.75,2.022903609029461,-0.0002589478371373133,14.727355338807676,9.195016404679369e-05
22000.0,1e-05,1.005e-06,0.047290716002751275,16.75,1.9724439508197928,0.0002588648476926636,14.777297184332514,8.965654321908149e-05
22000.0,1e-05,1.005e-06,0.04784346601411491,16.75,1.9242530463078076,-0.000258944105789638,14.826005897797982,8.74660475594458e-05
22000.0,1e-05,1.005e-06,0.04839621602547855,16.75,1.8762292079249985,0.00025886512246309223,14.873511926952538,8.528314581477265e-05
22000.0,1e-05,1.005e-06,0.048948966036842186,16.75,1.8304139728091222,-0.0002589404733672751,14.919844967664245,8.320063512768737e-05
22000.0,1e-05,1.005e-06,0.04950171604820582,16.75,1.7847071520453,0.00025886530076668635,14.965033982653933,8.112305236569545e-05
22000.0,1e-05,1.005e-06,0.05005446605956946,16.75,1.7411517175056588,-0.00025893693504919213,15.00910721942939,7.914325988662085e-05
22000.0,1e-05,1.005e-06,0.050607216070933096,16.75,1.6976489064995306,0.0002588653873143443,15.052092228113155,7.71658593863423e-05
22000.0,1e-05,1.005e-06,0.05115996608229673,16.75,1.656243054992558,-0.00025893348624350665,15.094015878493686,7.528377522693445e-05
22000.0,1e-05,1.005e-06,0.05171271609366037,16.75,1.6148367576214575,0.00025886538658248526,15.13490437699196,7.340167080097534e-05
22000.0,1e-05,1.005e-06,0.05226546610502401,16.75,1.5754756472498954,-0.00025893012258748627,15.174783282872692,7.161252942044979e-05
22000.0,1e-05,1.005e-06,0.052818216116387644,16.75,1.5360636103054421,0.0002588653028254839,15.213677524391732,6.982107319570192e-05
22000.0,1e-05,1.005e-06,0.05337096612775128,16.75,1.4986475126316225,-0.00025892683992623233,15.251611414208304,6.812034148325556e-05
22000.0,1e-05,1.005e-06,0.05392371613911492,16.75,1.461132470106767,0.00025886514009343387,15.28860866475314,6.641511227758032e-05
22000.0,1e-05,1.005e-06,0.054476466150478554,16.75,1.4255665207535984,-0.0002589236343144563,15.324692402880716,6.479847821607266e-05
22000.0,1e-05,1.005e-06,0.05502921616184219,16.75,1.3898559506015964,0.00025886490223925307,15.359885184496164,6.317527048189074e-05
22000.0,1e-05,1.005e-06,0.05558196617320583,16.75,1.3560499120174452,-0.0002589205019898344,15.394209008484545,6.163863236442933e-05
22000.0,1e-05,1.005e-06,0.056134716184569465,16.75,1.3220558047744095,0.00025886459292934205,15.427685330632661,6.009344567156407e-05
22000.0,1e-05,1.005e-06,0.0566874661959331,16.75,1.2899238405687097,-0.0002589174393818894,15.460335076870672,5.863290184403226e-05
22000.0,1e-05,1.005e-06,0.05724021620729674,16.75,1.2575624792611606,0.0002588642156471366,15.492178656523192,5.71619308755073e-05
22000.0,1e-05,1.005e-06,0.057792966218660376,16.75,1.2270229395463126,-0.0002589144430871215,15.523235974896775,5.577376997937785e-05
22000.0,1e-05,1.005e-06,0.05834571623002401,16.75,1.1962146903332993,0.00025886377370909486,15.553526445892992,5.437339501514997e-05
22000.0,1e-05,1.005e-06,0.05889846624138765,16.75,1.1671899075361676,-0.00025891150987433775,15.583069003973707,5.305408670618943e-05
22000.0,1e-05,1.005e-06,0.059451216252751286,16.75,1.137859020562443,0.0002588632702682503,15.611882116167289,5.1720864571020136e-05
22000.0,1e-05,1.005e-06,0.06000396626411492,16.75,1.1102751151946872,-0.000258908636666888,15.63998379344198,5.04670506906676e-05
22000.0,1e-05,1.005e-06,0.06055671627547856,16.75,1.0823495351568404,0.0002588627083284223,15.667391602134831,4.919770614349274e-05
22000.0,1e-05,1.005e-06,0.0611094662868422,16.75,1.0561362310584705,-0.00025890582054088895,15.69412267476207,4.800619232083957e-05
22000.0,1e-05,1.005e-06,0.061662216298205834,16.75,1.0295474170103542,0.00025886209073711086,15.720193720898909,4.679760986410701e-05
22000.0,1e-05,1.005e-06,0.06221496630956947,16.75,1.004637865604371,-0.00025890305870746033,15.745621037454336,4.566535752747141e-05
22000.0,1e-05,1.005e-06,0.0627677163209331,16.75,0.9793206195511708,0.00025886142021391834,15.770420519028615,4.451457361596231e-05
22000.0,1e-05,1.005e-06,0.06332046633229674,16.75,0.9556512326699007,-0.00025890034852515953,15.794607667678624,4.3438692394086395e-05
22000.0,1e-05,1.005e-06,0.06387321634366037,16.75,0.9315435365221614,0.0002588606993398912,15.818197602778499,4.2342888023734606e-05
22000.0,1e-05,1.005e-06,0.06442596635502401,16.75,0.90905382738711,-0.0002588976874733362,15.841205070300363,4.132062851759591e-05
22000.0,1e-05,1.005e-06,0.06497871636638765,16.75,0.886096687867072,0.00025885993057173096,15.863644452202356,4.0277122175776e-05
22000.0,1e-05,1.005e-06,0.06553146637775129,16.75,0.8647291198247267,-0.0002588950731539086,15.885529775248427,3.9305869082942125e-05
22000.0,1e-05,1.005e-06,0.06608421638911492,16.75,0.8428664209369909,0.0002588591162471232,15.906874719946762,3.83121100425905e-05
22000.0,1e-05,1.005e-06,0.06663696640047856,16.75,0.8225662635721829,-0.00025889250328958724,15.927692628931107,3.73893756169174e-05
22000.0,1e-05,1.005e-06,0.0671897164118422,16.75,0.8017446262698673,0.0002588582585829613,15.94799651547155,3.644293755772124e-05
22000.0,1e-05,1.005e-06,0.06774246642320583,16.75,0.7824598185369691,-0.0002588899757132168,15.967799071438744,3.556635538804405e-05
22000.0,1e-05,1.005e-06,0.06829521643456947,16.75,0.762628467232382,0.0002588573597002153,15.987112675407918,3.466493032874464e-05
22000.0,1e-05,1.005e-06,0.0688479664459331,16.75,0.7443094872620151,-0.00025888748836422337,16.00594940022635,3.383224942100068e-05
22000.0,1e-05,1.005e-06,0.06940071645729674,16.75,0.7254201228479786,0.0002588564216061684,16.024321020730415,3.2973641947635394e-05
22000.0,1e-05,1.005e-06,0.06995346646866038,16.75,0.7080198641036013,-0.0002588850392761799,16.042239020935675,3.218272109561824e-05
22000.0,1e-05,1.005e-06,0.07050621648002402,16.75,0.6900265431679529,0.0002588554462157333,16.05971460138583,3.136484287127058e-05
22000.0,1e-05,1.005e-06,0.07105896649138765,16.75,0.6735001966427312,-0.00025888262658568806,16.076758685983854,3.061364530194233e-05
22000.0,1e-05,1.005e-06,0.07161171650275129,16.75,0.656359216573847,0.0002588544353478994,16.093381928990805,2.9834509844265774e-05
22000.0,1e-05,1.005e-06,0.07216446651411493,16.75,0.640664158733081,-0.00025888024852704916,16.109594721515446,2.9121098124230957e-05
22000.0,1e-05,1.005e-06,0.07271721652547856,16.75,0.6243339484292179,0.0002588533907328383,16.12540719818005,2.837881583769172e-05
22000.0,1e-05,1.005e-06,0.0732699665368422,16.75,0.6094296346182055,-0.00025887790339851335,16.140829243285193,2.770134702810025e-05
22000.0,1e-05,1.005e-06,0.07382271654820584,16.75,0.5938706505272471,0.0002588523140190091,16.155870497158734,2.699412047851123e-05
22000.0,1e-05,1.005e-06,0.07437546655956948,16.75,0.5797185135779586,-0.00025887558959780677,16.17054036201164,2.6350841526270844e-05
22000.0,1e-05,1.005e-06,0.07492821657093311,16.75,0.5648931408076336,0.0002588512067660531,16.1848480079856,2.5676960945801528e-05
22000.0,1e-05,1.005e-06,0.07548096658229675,16.75,0.5514564945906457,-0.00025887330560436794,16.19880237871496,2.5066204299574806e-05
22000.0,1e-05,1.005e-06,0.07603371659366039,16.75,0.5373289528418717,0.0002588500704696628,16.21241219708766,2.4424043310994167e-05
22000.0,1e-05,1.005e-06,0.07658646660502402,16.75,0.5245729005223545,-0.00025887104995447885,16.2256859705276,2.3844222751016113e-05
22000.0,1e-05,1.005e-06,0.07713921661638766,16.75,0.5111091546105406,0.0002588489065473709,16.238631996482912,2.3232234300479118e-05
22000.0,1e-05,1.005e-06,0.0776919666277513,16.75,0.49900050137891583,-0.000258868821276792,16.25125836744236,2.2681840971768903e-05
22000.0,1e-05,1.005e-06,0.07824471663911493,16.75,0.48616817611939567,0.00025884771634565595,16.26357297616426,2.209855345997253e-05
22000.0,1e-05,1.005e-06,0.07879746665047857,16.75,0.47467534617835483,-0.0002588666182496979,16.275583520439895,2.157615209901613e-05
22000.0,1e-05,1.005e-06,0.07935021666184221,16.75,0.46244364542312155,0.00025884650115060026,16.287297508075728,2.102016570105098e-05
22000.0,1e-05,1.005e-06,0.07990296667320584,16.75,0.45153660302344534,-0.0002588644396261941,16.29872226141618,2.0524391046520244e-05
22000.0,1e-05,1.005e-06,0.08045571668456948,16.75,0.43987623264669296,0.0002588452621736792,16.309864922091133,1.9994374211213315e-05
22000.0,1e-05,1.005e-06,0.08100846669593312,16.75,0.42952640697440003,-0.00025886228421612145,16.320732455309816,1.9523927589745455e-05
22000.0,1e-05,1.005e-06,0.08156121670729675,16.75,0.4184095016143381,0.0002588440005837356,16.331331654385078,1.9018613709742642e-05
22000.0,1e-05,1.005e-06,0.08211396671866039,16.75,0.4085897153413356,-0.0002588601508826116,16.341669144809547,1.8572259788242528e-05
22000.0,1e-05,1.005e-06,0.08266671673002403,16.75,0.3979897687149965,0.0002588427174750052,16.35175138856753,1.809044403249984e-05
22000.0,1e-05,1.005e-06,0.08321946674138767,16.75,0.38867417003449845,-0.00025885803855274503,16.361584688004054,1.7667007728840837e-05
22000.0,1e-05,1.005e-06,0.0837722167527513,16.75,0.378565968651305,0.00025884141390264404,16.371175189934792,1.7207544029604772e-05
22000.0,1e-05,1.005e-06,0.08432496676411494,16.75,0.3697299666281282,-0.0002588559462068929,16.38052888931808,1.6805907574005826e-05
22000.0,1e-05,1.005e-06,0.08487771677547858,16.75,0.360089526736445,0.00025884009087207005,16.389651633172683,1.63677057607475e-05
22000.0,1e-05,1.005e-06,0.08543046678684221,16.75,0.35170972981043036,-0.00025885387286805894,16.398549124062438,1.5986805900474107e-05
22000.0,1e-05,1.005e-06,0.08598321679820585,16.75,0.3425142374194614,0.00025883874932475237,16.407226923831214,1.5568828973611883e-05
22000.0,1e-05,1.005e-06,0.08653596680956949,16.75,0.3345683949082989,-0.0002588518176054322,16.415690456909307,1.5207654314013588e-05
22000.0,1e-05,1.005e-06,0.08708871682093312,16.75,0.3257961487352894,0.00025883739016308027,16.423945013874548,1.4808915851604063e-05
22000.0,1e-05,1.005e-06,0.08764146683229676,16.75,0.31826309519041374,-0.00025884977954149235,16.431995754589128,1.4466504326836987e-05
22000.0,1e-05,1.005e-06,0.0881942168436604,16.75,0.30989345239043686,0.0002588360142503632,16.439847711595313,1.408606601774713e-05
22000.0,1e-05,1.005e-06,0.08874696685502403,16.75,0.3027530546668764,-0.0002588477578413517,16.447505793090965,1.376150248485802e-05
22000.0,1e-05,1.005e-06,0.08929971686638767,16.75,0.29476637920962645,0.00025883462240372523,16.45497478616797,1.3398471782255748e-05
22000.0,1e-05,1.005e-06,0.08985246687775131,16.75,0.2879994861173891,-0.0002588457517056497,16.462259359634317,1.3090885732608597e-05
22000.0,1e-05,1.005e-06,0.09040521688911494,16.75,0.28037709968173274,0.000258833215397658,16.46936406710287,1.2744413621896943e-05
22000.0,1e-05,1.005e-06,0.09095796690047858,16.75,0.27396549409285953,-0.0002588437603705529,16.47629334966751,1.2452977004220888e-05
22000.0,1e-05,1.005e-06,0.09151071691184222,16.75,0.26668962935645624,0.0002588317939782314,16.483051538849566,1.212225587983892e-05
22000.0,1e-05,1.005e-06,0.09206346692320586,16.75,0.2606159826479839,-0.0002588417831184131,16.489642859135135,1.1846181029453814e-05
22000.0,1e-05,1.005e-06,0.09261621693456949,16.75,0.2536697388550664,0.00025883035884533,16.49607143078609,1.153044267523029e-05
22000.0,1e-05,1.005e-06,0.09316896694593313,16.75,0.24791756757392136,-0.0002588398192671093,16.502341272245346,1.1268980344269152e-05
22000.0,1e-05,1.005e-06,0.09372171695729677,16.75,0.2412848682702169,0.0002588289106704167,16.508456302819113,1.0967494012282586e-05
22000.0,1e-05,1.005e-06,0.0942744669686604,16.75,0.23583849291166104,-0.00025883786815228405,16.51442034495649,1.0719931495984593e-05
22000.0,1e-05,1.005e-06,0.09482721698002404,16.75,0.22950404574068983,0.0002588274500858745,16.520237126809224,1.0432002079122266e-05
22000.0,1e-05,1.005e-06,0.09537996699138768,16.75,0.22434855153733935,-0.0002588359291664233,16.525910284391827,1.0197661433515425e-05
22000.0,1e-05,1.005e-06,0.09593271700275131,16.75,0.21829780999753723,0.00025882597769921745,16.531443364024764,9.922627727160783e-06
22000.0,1e-05,1.005e-06,0.09648546701411495,16.75,0.21341900962077887,-0.0002588340017126711,16.536839824380934,9.700864073671767e-06
22000.0,1e-05,1.005e-06,0.09703821702547859,16.75,0.20763813668791542,0.0002588244940859852,16.542103038818,9.438097122177974e-06
22000.0,1e-05,1.005e-06,0.09759096703684222,16.75,0.2030225347684933,-0.0002588320852296988,16.547236297316736,9.228297034931513e-06
22000.0,1e-05,1.005e-06,0.09814371704820586,16.75,0.19749836829227618,0.000258822999800401,16.552242808707923,8.977198558739826e-06
22000.0,1e-05,1.005e-06,0.0986964670595695,16.75,0.19313312767132373,-0.00025883017917749385,16.557125702507854,8.778778530514715e-06
22000.0,1e-05,1.005e-06,0.09924921707093314,16.75,0.18785314745974446,0.00025882149535760846,16.561888031044898,8.538779429988384e-06
22000.0,1e-05,1.005e-06,0.09980196708229677,16.75,0.18372605708585255,-0.0002588282830551236,16.566532771197203,8.351184412993297e-06
22000.0,1e-05,1.005e-06,0.10035471709366041,16.75,0.17867835359491124,0.0002588199812514347,16.571062826423837,8.121743345223238e-06
