R,C,V_in,V_out
1272.7272727272727,1e-06,5.0,0.0
1272.7272727272727,1.1e-06,5.0,0.0
1272.7272727272727,1.2e-06,5.0,0.0
1272.7272727272727,1.2999999999999998e-06,5.0,0.0
1272.7272727272727,1.3999999999999997e-06,5.0,0.0
1272.7272727272727,1.5e-06,5.0,0.0
1272.7272727272727,1.6e-06,5.0,0.0
1272.7272727272727,1.6999999999999998e-06,5.0,0.0
1272.7272727272727,1.7999999999999997e-06,5.0,0.0
1272.7272727272727,1.9e-06,5.0,0.0
1272.7272727272727,2e-06,5.0,0.0
1272.7272727272727,2.1e-06,5.0,0.0
1272.7272727272727,2.1999999999999997e-06,5.0,0.0
1272.7272727272727,2.3e-06,5.0,0.0
1272.7272727272727,2.4e-06,5.0,0.0
1272.7272727272727,2.4999999999999998e-06,5.0,0.0
1272.7272727272727,2.5999999999999997e-06,5.0,0.0
1272.7272727272727,2.6999999999999996e-06,5.0,0.0
1272.7272727272727,2.8e-06,5.0,0.0
1272.7272727272727,2.8999999999999998e-06,5.0,0.0
1272.7272727272727,2.9999999999999997e-06,5.0,0.0
1272.7272727272727,3.1e-06,5.0,0.0
1272.7272727272727,3.2e-06,5.0,0.0
1272.7272727272727,3.2999999999999997e-06,5.0,0.0
1272.7272727272727,3.3999999999999996e-06,5.0,0.0
1272.7272727272727,3.4999999999999995e-06,5.0,0.0
1272.7272727272727,3.6e-06,5.0,0.0
1272.7272727272727,3.6999999999999997e-06,5.0,0.0
1272.7272727272727,3.7999999999999996e-06,5.0,0.0
1272.7272727272727,3.9e-06,5.0,0.0
1272.7272727272727,4e-06,5.0,0.0
1272.7272727272727,4.1e-06,5.0,0.0
1272.7272727272727,4.2e-06,5.0,0.0
1272.7272727272727,4.2999999999999995e-06,5.0,0.0
1272.7272727272727,4.399999999999999e-06,5.0,0.0
1272.7272727272727,4.5e-06,5.0,0.0
1272.7272727272727,4.6e-06,5.0,0.0
1272.7272727272727,4.7e-06,5.0,0.0
1272.7272727272727,4.8e-06,5.0,0.0
1272.7272727272727,4.9e-06,5.0,0.0
1272.7272727272727,4.9999999999999996e-06,5.0,0.0
1272.7272727272727,5.0999999999999995e-06,5.0,0.0
1272.7272727272727,5.199999999999999e-06,5.0,0.0
1272.7272727272727,5.299999999999999e-06,5.0,0.0
1272.7272727272727,5.4e-06,5.0,0.0
1272.7272727272727,5.5e-06,5.0,0.0
1272.7272727272727,5.6e-06,5.0,0.0
1272.7272727272727,5.7e-06,5.0,0.0
1272.7272727272727,5.7999999999999995e-06,5.0,0.0
1272.7272727272727,5.899999999999999e-06,5.0,0.0
1272.7272727272727,5.999999999999999e-06,5.0,0.0
1272.7272727272727,6.1e-06,5.0,0.0
1272.7272727272727,6.2e-06,5.0,0.0
1272.7272727272727,6.3e-06,5.0,0.0
1272.7272727272727,6.4e-06,5.0,0.0
1272.7272727272727,6.5e-06,5.0,0.0
